target_id,disease_id,transition_year,outcome
ENSG00000171189,MONDO_0005299,2010,False
ENSG00000174175,EFO_0001645,2010,False
ENSG00000105810,EFO_0000708,2014,False
ENSG00000162009,MONDO_0017611,1999,False
ENSG00000100368,EFO_0000198,2007,False
ENSG00000178057,EFO_0000365,2012,False
ENSG00000185386,EFO_0003914,2008,False
ENSG00000149295,EFO_1000852,2010,False
ENSG00000188153,MONDO_0043839,2008,False
ENSG00000115758,MONDO_0007576,1995,False
ENSG00000150093,HP_0002140,2014,False
ENSG00000022355,EFO_0007462,2015,False
ENSG00000137806,EFO_0000196,2013,False
ENSG00000171873,EFO_0005687,2009,False
ENSG00000157404,EFO_1000796,2007,False
ENSG00000068078,EFO_0003833,2012,False
ENSG00000115221,EFO_0000768,2012,False
ENSG00000175482,MONDO_0000430,2013,False
ENSG00000158864,EFO_0000095,2012,False
ENSG00000258947,MONDO_0004192,2001,False
ENSG00000186350,EFO_0000222,2010,False
ENSG00000048392,MONDO_0001187,1999,True
ENSG00000171848,EFO_0000095,1997,True
ENSG00000104833,EFO_0000673,1999,True
ENSG00000171509,EFO_0001645,2014,False
ENSG00000137267,EFO_0001075,2002,True
ENSG00000127824,EFO_0005672,2008,False
ENSG00000136531,EFO_0000546,2011,True
ENSG00000157764,EFO_1000616,2011,False
ENSG00000128271,EFO_0001421,2005,False
ENSG00000152086,EFO_0000389,1999,False
ENSG00000168356,EFO_0000555,2003,False
ENSG00000142627,EFO_0000222,2007,True
ENSG00000153253,MONDO_0015626,2015,False
ENSG00000160882,HP_0011736,2008,False
ENSG00000176890,EFO_1000044,2000,True
ENSG00000188778,EFO_0000474,2008,False
ENSG00000127824,MONDO_0009348,2015,False
ENSG00000198888,MONDO_0007254,2009,True
ENSG00000137267,EFO_0003859,2002,False
ENSG00000127824,EFO_0004252,2002,True
ENSG00000168830,MONDO_0004985,2004,False
ENSG00000138735,EFO_0000545,2015,False
ENSG00000113851,EFO_0000183,2003,False
ENSG00000148229,EFO_1000044,2000,True
ENSG00000073756,EFO_1001158,2015,False
ENSG00000128052,EFO_0004212,2013,False
ENSG00000151623,EFO_0000712,2015,False
ENSG00000101180,MONDO_0021107,2006,True
ENSG00000117013,MONDO_0004976,2015,False
ENSG00000178127,EFO_0002950,2010,True
ENSG00000097007,EFO_0001378,2007,False
ENSG00000007314,MONDO_0016107,2011,False
ENSG00000164307,EFO_0000198,2015,False
ENSG00000142166,EFO_0000764,2000,True
ENSG00000077092,EFO_0000621,1997,True
